"Domain.Code","Domain","Area.Code..FAO.","Area","Element.Code","Element","Item.Code..CPC.","Item","Year.Code","Year","Unit","Value","Flag","Flag.Description","Note"
"QCL","Crops and livestock products",251,"Zambia",5510,"Production",114,"Sorghum",1985,1985,"t",20227,"A","Official figure",""
"QCL","Crops and livestock products",251,"Zambia",5312,"Area harvested",114,"Sorghum",1986,1986,"ha",59550,"A","Official figure",""
"QCL","Crops and livestock products",251,"Zambia",5510,"Production",114,"Sorghum",1986,1986,"t",44996,"A","Official figure",""
"QCL","Crops and livestock products",251,"Zambia",5312,"Area harvested",114,"Sorghum",1987,1987,"ha",47484,"A","Official figure",""
"QCL","Crops and livestock products",251,"Zambia",5510,"Production",114,"Sorghum",1987,1987,"t",26191,"A","Official figure",""
"QCL","Crops and livestock products",251,"Zambia",5312,"Area harvested",114,"Sorghum",1988,1988,"ha",47448,"A","Official figure",""
"QCL","Crops and livestock products",251,"Zambia",5510,"Production",114,"Sorghum",1988,1988,"t",36127,"A","Official figure",""
"QCL","Crops and livestock products",251,"Zambia",5312,"Area harvested",114,"Sorghum",1989,1989,"ha",52008,"A","Official figure",""
"QCL","Crops and livestock products",251,"Zambia",5510,"Production",114,"Sorghum",1989,1989,"t",33757,"A","Official figure",""
"QCL","Crops and livestock products",251,"Zambia",5312,"Area harvested",114,"Sorghum",1990,1990,"ha",48465,"A","Official figure",""
"QCL","Crops and livestock products",251,"Zambia",5510,"Production",114,"Sorghum",1990,1990,"t",19591,"A","Official figure",""
"QCL","Crops and livestock products",251,"Zambia",5312,"Area harvested",114,"Sorghum",1991,1991,"ha",31790,"A","Official figure",""
"QCL","Crops and livestock products",251,"Zambia",5510,"Production",114,"Sorghum",1991,1991,"t",20939,"A","Official figure",""
"QCL","Crops and livestock products",251,"Zambia",5312,"Area harvested",114,"Sorghum",1992,1992,"ha",40323,"A","Official figure",""
"QCL","Crops and livestock products",251,"Zambia",5510,"Production",114,"Sorghum",1992,1992,"t",13007,"A","Official figure",""
"QCL","Crops and livestock products",251,"Zambia",5312,"Area harvested",114,"Sorghum",1993,1993,"ha",46563,"A","Official figure",""
"QCL","Crops and livestock products",251,"Zambia",5510,"Production",114,"Sorghum",1993,1993,"t",35448,"A","Official figure",""
"QCL","Crops and livestock products",251,"Zambia",5312,"Area harvested",114,"Sorghum",1994,1994,"ha",55245,"A","Official figure",""
"QCL","Crops and livestock products",251,"Zambia",5510,"Production",114,"Sorghum",1994,1994,"t",35070,"A","Official figure",""
