"family","species","month","year","x","y"
"Felidae","Panthera leo",9,2024,34.996077,-2.34001
"Bovidae","Syncerus caffer",7,2018,35.504818,-3.190162
"Elephantidae","Loxodonta africana",9,2024,35.42884,-2.863941
"Felidae","Panthera leo",9,2024,34.873597,-2.052054
"Elephantidae","Loxodonta africana",9,2024,36.124423,-4.056773
"Felidae","Panthera leo",9,2024,34.971443,-2.578444
"Elephantidae","Loxodonta africana",7,2018,35.903969,-3.799853
"Felidae","Panthera pardus",9,2024,34.821067,-2.215088
"Felidae","Panthera leo",9,2024,34.825199,-2.230412
"Elephantidae","Loxodonta africana",10,2024,38.076172,-7.610675
"Elephantidae","Loxodonta africana",10,2024,35.409115,-3.320981
"Felidae","Panthera leo",9,2024,34.821895,-2.296733
"Felidae","Panthera leo",10,2024,34.664336,-2.719001
"Felidae","Panthera leo",9,2024,34.898307,-2.573966
"Elephantidae","Loxodonta africana",11,2024,34.651279,-7.771591
"Elephantidae","Loxodonta africana",7,2018,36.191105,-3.62558
"Elephantidae","Loxodonta africana",9,2024,36.195069,-4.007371
"Felidae","Panthera leo",9,2024,35.53463,-3.142286
"Felidae","Panthera pardus",9,2024,36.186251,-4.128663
"Felidae","Panthera leo",11,2024,34.992107,-7.758459
"Felidae","Panthera pardus",7,2018,34.652086,-2.310368
"Elephantidae","Loxodonta africana",12,2013,35.890719,-3.760907
"Felidae","Panthera leo",7,2018,35.447502,-3.197243
"Felidae","Panthera leo",9,2016,36.007922,-4.124672
"Felidae","Panthera leo",10,2024,38.178239,-7.650284
"Elephantidae","Loxodonta africana",7,2018,36.153235,-3.946572
"Elephantidae","Loxodonta africana",10,2024,38.121769,-7.796153
"Bovidae","Syncerus caffer",7,2018,36.006329,-3.987912
"Elephantidae","Loxodonta africana",7,2018,36.19397,-4.059766
"Elephantidae","Loxodonta africana",8,2023,35.965542,-3.271152
"Bovidae","Syncerus caffer",2,2012,36.854987,-3.205999
"Elephantidae","Loxodonta africana",8,2023,35.890774,-3.544646
"Elephantidae","Loxodonta africana",10,2024,37.064976,-7.280699
"Felidae","Panthera pardus",10,2024,38.107228,-7.731373
"Elephantidae","Loxodonta africana",8,2023,35.975095,-3.387111
"Felidae","Panthera leo",6,2024,34.813539,-2.408321
"Felidae","Panthera leo",10,2024,37.093335,-7.14457
"Elephantidae","Loxodonta africana",8,2023,35.94033,-3.576537
"Elephantidae","Loxodonta africana",8,2023,35.981883,-3.526806
"Elephantidae","Loxodonta africana",8,2023,35.993749,-3.248076
"Elephantidae","Loxodonta africana",8,2023,35.86592,-3.405336
"Felidae","Panthera leo",6,2024,35.116469,-2.797756
"Felidae","Panthera leo",6,2024,35.189307,-2.70916
"Bovidae","Syncerus caffer",8,2023,35.569657,-3.184543
"Elephantidae","Loxodonta africana",9,2024,35.666827,-3.79754
"Felidae","Panthera leo",8,2023,35.464259,-3.080049
"Elephantidae","Loxodonta africana",11,2021,35.871911,-3.71119
