Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0112","Maize (corn)","2017","2017","ha","3817879","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0112","Maize (corn)","2017","2017","t","6680758","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0112","Maize (corn)","2018","2018","ha","3546448","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0112","Maize (corn)","2018","2018","t","6273151","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0112","Maize (corn)","2019","2019","ha","3428630","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0112","Maize (corn)","2019","2019","t","5652005","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0112","Maize (corn)","2020","2020","ha","4200000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0112","Maize (corn)","2020","2020","t","6711000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0112","Maize (corn)","2021","2021","ha","4400000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0112","Maize (corn)","2021","2021","t","7039000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0112","Maize (corn)","2022","2022","ha","4000000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0112","Maize (corn)","2022","2022","t","6537000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0112","Maize (corn)","2023","2023","ha","4200000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0112","Maize (corn)","2023","2023","t","8010949","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0112","Maize (corn)","2024","2024","ha","5741681","E","Estimated value",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0112","Maize (corn)","2024","2024","t","10084000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0114","Sorghum","1961","1961","ha","200000","E","Estimated value",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0114","Sorghum","1961","1961","t","180000","E","Estimated value",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0114","Sorghum","1962","1962","ha","175000","E","Estimated value",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0114","Sorghum","1962","1962","t","175000","E","Estimated value",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0114","Sorghum","1963","1963","ha","162000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0114","Sorghum","1963","1963","t","178000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0114","Sorghum","1964","1964","ha","173000","E","Estimated value",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0114","Sorghum","1964","1964","t","135258","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0114","Sorghum","1965","1965","ha","192000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0114","Sorghum","1965","1965","t","149124","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0114","Sorghum","1966","1966","ha","310000","E","Estimated value",""
